original_index,label,label_name,source_file,source_file_name,device,attack_type,true_label,pred_label,true_label_name,pred_label_name,attack_probability,confidence,confidence_uncertainty,entropy,entropy_norm,correct,priority_score,model
155055,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\6.benign.csv,6.benign.csv,device_6,benign,0,0,benign,benign,0.4950467,0.5049533,0.49504668,0.6930981,0.9999292318870053,1,0.6465114571109243,UVIF-IoT + T
560065,1,attack,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\1.gafgyt.scan.csv,1.gafgyt.scan.csv,device_1,gafgyt+scan,1,0,attack,benign,0.465272,0.534728,0.465272,0.6907332,0.9965173540678635,0,0.6246456172516053,UVIF-IoT + T
369651,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\6.benign.csv,6.benign.csv,device_6,benign,0,1,benign,attack,0.54209167,0.54209167,0.45790833,0.6895996,0.9948818850494836,0,0.6610920643203679,UVIF-IoT + T
60210,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\9.benign.csv,9.benign.csv,device_9,benign,0,0,benign,benign,0.45040157,0.5495984,0.4504016,0.6882191,0.9928902399611669,1,0.6131481800100862,UVIF-IoT + T
108996,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\4.benign.csv,4.benign.csv,device_4,benign,0,0,benign,benign,0.423619,0.576381,0.42361897,0.68143326,0.9831003855347777,1,0.5914634096825166,UVIF-IoT + T
239014,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\5.benign.csv,5.benign.csv,device_5,benign,0,0,benign,benign,0.4169137,0.58308625,0.41691375,0.6792762,0.9799884454587406,1,0.5858361257964166,UVIF-IoT + T
209351,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\4.benign.csv,4.benign.csv,device_4,benign,0,0,benign,benign,0.40463638,0.5953636,0.40463638,0.6748468,0.9735981720919568,1,0.5753249182771194,UVIF-IoT + T
659030,1,attack,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\1.gafgyt.scan.csv,1.gafgyt.scan.csv,device_1,gafgyt+scan,1,1,attack,attack,0.5999711,0.5999711,0.40002888,0.6730234,0.9709675254643592,1,0.6712815952962825,UVIF-IoT + T
797169,1,attack,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\1.gafgyt.tcp.csv,1.gafgyt.tcp.csv,device_1,gafgyt+tcp,1,0,attack,benign,0.39804316,0.60195684,0.39804316,0.6722103,0.969794431802824,0,0.5695685414901956,UVIF-IoT + T
760234,1,attack,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\1.gafgyt.tcp.csv,1.gafgyt.tcp.csv,device_1,gafgyt+tcp,1,0,attack,benign,0.3954642,0.60453576,0.39546424,0.6711297,0.968235495064078,0,0.567295607141679,UVIF-IoT + T
423577,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\4.benign.csv,4.benign.csv,device_4,benign,0,0,benign,benign,0.3929798,0.6070202,0.3929798,0.67006236,0.9666956483995779,1,0.5650945535205563,UVIF-IoT + T
947334,1,attack,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\1.gafgyt.scan.csv,1.gafgyt.scan.csv,device_1,gafgyt+scan,1,0,attack,benign,0.3915667,0.6084333,0.3915667,0.6694437,0.9658031444329254,0,0.5638376334481905,UVIF-IoT + T
225601,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\4.benign.csv,4.benign.csv,device_4,benign,0,0,benign,benign,0.356449,0.64355093,0.35644907,0.65134776,0.9396961780319509,1,0.5314231724122136,UVIF-IoT + T
802800,1,attack,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\1.gafgyt.scan.csv,1.gafgyt.scan.csv,device_1,gafgyt+scan,1,1,attack,attack,0.64914894,0.64914894,0.35085106,0.64797187,0.9348258013421671,1,0.6751924271850103,UVIF-IoT + T
95386,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\6.benign.csv,6.benign.csv,device_6,benign,0,0,benign,benign,0.32891145,0.6710885,0.32891148,0.6334051,0.9138103813199862,1,0.5043811422666509,UVIF-IoT + T
723176,1,attack,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\1.mirai.scan.csv,1.mirai.scan.csv,device_1,mirai+scan,1,0,attack,benign,0.2840522,0.71594775,0.28405225,0.5967399,0.8609136773941122,0,0.45711064960948233,UVIF-IoT + T
442120,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\5.benign.csv,5.benign.csv,device_5,benign,0,0,benign,benign,0.27688932,0.7231107,0.27688932,0.58999133,0.8511775675461177,1,0.4491757994307722,UVIF-IoT + T
313100,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\8.benign.csv,8.benign.csv,device_8,benign,0,0,benign,benign,0.25857314,0.7414269,0.2585731,0.57155913,0.8245855240783848,1,0.4283768547702359,UVIF-IoT + T
337889,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\8.benign.csv,8.benign.csv,device_8,benign,0,0,benign,benign,0.25857314,0.7414269,0.2585731,0.57155913,0.8245855240783848,1,0.4283768547702359,UVIF-IoT + T
91587,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\3.benign.csv,3.benign.csv,device_3,benign,0,0,benign,benign,0.24802455,0.7519755,0.24802452,0.56015444,0.8081320298616653,1,0.4160567893953492,UVIF-IoT + T
69907,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\4.benign.csv,4.benign.csv,device_4,benign,0,1,benign,attack,0.7658523,0.7658523,0.23414773,0.5442397,0.7851719160148533,0,0.6653072587927887,UVIF-IoT + T
401810,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\3.benign.csv,3.benign.csv,device_3,benign,0,1,benign,attack,0.7709407,0.7709407,0.22905928,0.5381372,0.7763678661432097,0,0.6641925783886382,UVIF-IoT + T
135460,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\3.benign.csv,3.benign.csv,device_3,benign,0,1,benign,attack,0.7709407,0.7709407,0.22905928,0.5381372,0.7763678661432097,0,0.6641925783886382,UVIF-IoT + T
207750,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\3.benign.csv,3.benign.csv,device_3,benign,0,1,benign,attack,0.7709407,0.7709407,0.22905928,0.5381372,0.7763678661432097,0,0.6641925783886382,UVIF-IoT + T
261610,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\5.benign.csv,5.benign.csv,device_5,benign,0,0,benign,benign,0.20677222,0.79322785,0.20677215,0.50964856,0.7352674522400158,1,0.3653207762062626,UVIF-IoT + T
351402,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\5.benign.csv,5.benign.csv,device_5,benign,0,0,benign,benign,0.20677222,0.79322785,0.20677215,0.50964856,0.7352674522400158,1,0.3653207762062626,UVIF-IoT + T
185051,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\5.benign.csv,5.benign.csv,device_5,benign,0,0,benign,benign,0.20677222,0.79322785,0.20677215,0.50964856,0.7352674522400158,1,0.3653207762062626,UVIF-IoT + T
611386,1,attack,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\1.gafgyt.scan.csv,1.gafgyt.scan.csv,device_1,gafgyt+scan,1,1,attack,attack,0.79493713,0.79493713,0.20506287,0.50734144,0.7319389860065424,1,0.6580628366837395,UVIF-IoT + T
941289,1,attack,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\1.gafgyt.scan.csv,1.gafgyt.scan.csv,device_1,gafgyt+scan,1,1,attack,attack,0.8030865,0.8030865,0.19691348,0.4960937,0.7157119069496838,1,0.6556395278573051,UVIF-IoT + T
466451,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\8.benign.csv,8.benign.csv,device_8,benign,0,0,benign,benign,0.18639596,0.813604,0.186396,0.4809547,0.6938709702033614,1,0.33863846990283775,UVIF-IoT + T
458177,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\4.benign.csv,4.benign.csv,device_4,benign,0,0,benign,benign,0.16751936,0.83248067,0.16751933,0.45193094,0.6519985261804443,1,0.3128631059302861,UVIF-IoT + T
266846,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\5.benign.csv,5.benign.csv,device_5,benign,0,0,benign,benign,0.16557072,0.8344293,0.16557068,0.448793,0.6474714268617825,1,0.3101409238390027,UVIF-IoT + T
226277,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\8.benign.csv,8.benign.csv,device_8,benign,0,0,benign,benign,0.16216774,0.8378323,0.16216773,0.44324708,0.6394703639870175,1,0.30535852769986654,UVIF-IoT + T
975529,1,attack,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\1.gafgyt.scan.csv,1.gafgyt.scan.csv,device_1,gafgyt+scan,1,1,attack,attack,0.8395965,0.8395965,0.16040349,0.44033837,0.635273987305965,1,0.6424611499168891,UVIF-IoT + T
236905,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\2.benign.csv,2.benign.csv,device_2,benign,0,1,benign,attack,0.8406891,0.8406891,0.15931088,0.4385254,0.6326584321559807,0,0.6420042679399651,UVIF-IoT + T
54431,0,benign,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\8.benign.csv,8.benign.csv,device_8,benign,0,0,benign,benign,0.15610549,0.8438945,0.15610552,0.43315512,0.6249107427215993,1,0.29674707187165084,UVIF-IoT + T
907903,1,attack,F:\MBZUAI UAE\16-Conference\1-UVIF-IoT-WiMob26\data\nbaiot\1.gafgyt.tcp.csv,1.gafgyt.tcp.csv,device_1,gafgyt+tcp,1,0,attack,benign,0.15462291,0.845377,0.15462297,0.43064493,0.6212893040423811,0,0.29462284144595924,UVIF-IoT + T
