model,epsilon,n_samples,accuracy,macro_f1,weighted_f1,balanced_accuracy,ece,brier_score,mean_confidence,eval_time_sec,macro_f1_drop_from_clean,accuracy_drop_from_clean
Standard MLP,0.0,60000,0.9994,0.9994,0.9994,0.9994,0.0005242976417143794,0.0005467875550998426,0.999676525592804,0.785,0.0,0.0
Standard MLP,0.005,60000,0.9993833333333333,0.9993833333331621,0.9993833333331621,0.9993833333333333,0.00048568374613921274,0.0005784163149981572,0.9996266961097717,1.144,1.666666683786122e-05,1.666666666666483e-05
Standard MLP,0.01,60000,0.9993333333333333,0.9993333333303704,0.9993333333303703,0.9993333333333333,0.0005318864047526926,0.0006199533619733589,0.9995661973953247,1.118,6.666666962951151e-05,6.666666666665932e-05
Standard MLP,0.02,60000,0.9992,0.9991999999777778,0.9991999999777778,0.9992,0.00045700623492404954,0.0007273556695672437,0.9993325471878052,1.042,0.00020000002222220203,0.00019999999999997797
Standard MLP,0.05,60000,0.99835,0.998349999896875,0.9983499998968749,0.9983500000000001,0.01596032790740333,0.0030693994619980913,0.9841810464859009,1.007,0.0010500001031249484,0.0010499999999999954
Standard MLP,0.1,60000,0.8502,0.8475189625133207,0.8475189625133207,0.8502000000000001,0.14042339630822342,0.14349323391513985,0.9880966544151306,0.983,0.15188103748667925,0.1492
UVIF-IoT-Calibrated MLP,0.0,60000,0.9994,0.9994,0.9994,0.9994,0.0003507366240024111,0.0005580449962302919,0.9991341233253479,0.72,0.0,0.0
UVIF-IoT-Calibrated MLP,0.005,60000,0.9993833333333333,0.9993833333331621,0.9993833333331621,0.9993833333333333,0.0004474002490441063,0.0005942410494613302,0.9989615678787231,1.335,1.666666683786122e-05,1.666666666666483e-05
UVIF-IoT-Calibrated MLP,0.01,60000,0.9993333333333333,0.9993333333303704,0.9993333333303703,0.9993333333333333,0.0006600513041019935,0.0006380286102142089,0.9987409710884094,1.1,6.666666962951151e-05,6.666666666665932e-05
UVIF-IoT-Calibrated MLP,0.02,60000,0.9992,0.9991999999777778,0.9991999999777778,0.9992,0.001442900202671641,0.0007597236343769447,0.9978716969490051,1.083,0.00020000002222220203,0.00019999999999997797
UVIF-IoT-Calibrated MLP,0.05,60000,0.99835,0.998349999896875,0.9983499998968749,0.9983500000000001,0.02574599249064924,0.005947673533731948,0.9737964272499084,1.124,0.0010500001031249484,0.0010499999999999954
UVIF-IoT-Calibrated MLP,0.1,60000,0.8502,0.8475189625133207,0.8475189625133207,0.8502000000000001,0.137518079149723,0.13580060593807058,0.9798589944839478,0.884,0.15188103748667925,0.1492
