feature,importance,rank
HH_jit_L0.01_mean,0.1115900682390152,1
HpHp_L0.1_weight,0.08521427314108933,2
HH_L0.01_radius,0.06671456175639834,3
H_L0.01_weight,0.06171036676242399,4
MI_dir_L0.1_weight,0.05702871791204962,5
HpHp_L0.01_weight,0.05632621277552741,6
MI_dir_L0.01_weight,0.048219195611763785,7
H_L0.1_weight,0.04614045080341316,8
HpHp_L0.1_std,0.03520486376973492,9
HH_L0.01_std,0.03253777654809295,10
HH_jit_L0.1_mean,0.0251952213917116,11
HpHp_L0.01_std,0.021526605223324485,12
H_L1_weight,0.018332322585866007,13
H_L5_weight,0.01801116737457498,14
HH_jit_L3_mean,0.01770015989071233,15
MI_dir_L1_weight,0.017321906835327885,16
HH_jit_L5_mean,0.017109251371798802,17
HH_jit_L0.01_weight,0.016955485704279023,18
H_L3_weight,0.014426537308876377,19
H_L0.01_mean,0.013128513961411337,20
HH_L0.1_magnitude,0.012772455216293992,21
HH_jit_L0.1_weight,0.012130295017854408,22
H_L0.1_mean,0.011946518524859926,23
MI_dir_L0.1_mean,0.01164961754447522,24
HH_jit_L1_mean,0.011474960345553885,25
HH_L0.1_radius,0.00994831959218457,26
HH_L0.01_magnitude,0.009856596461137084,27
HH_L0.01_weight,0.009245077561948239,28
MI_dir_L0.01_variance,0.008575513617576984,29
MI_dir_L3_weight,0.008243005397519822,30
MI_dir_L5_weight,0.008011557814592231,31
MI_dir_L0.1_variance,0.00664231637213792,32
HH_L0.1_weight,0.006120576011561455,33
HpHp_L1_magnitude,0.0060284476794413835,34
HpHp_L0.01_magnitude,0.005901209293279833,35
HpHp_L3_magnitude,0.00507563178687833,36
HpHp_L1_weight,0.004741808623667877,37
H_L1_mean,0.004682149708955548,38
MI_dir_L0.01_mean,0.0041082051232486025,39
HH_L0.01_pcc,0.003950450525879777,40
HH_jit_L1_weight,0.003864134872690799,41
HH_L1_weight,0.0037348979572296914,42
MI_dir_L1_mean,0.0032711447709443567,43
HpHp_L0.1_magnitude,0.003227892555235824,44
H_L0.1_variance,0.0026946265994171052,45
HH_L0.01_mean,0.002626805044482017,46
HH_L0.1_std,0.0024016597690832576,47
HH_L0.01_covariance,0.002292610067063694,48
HH_L0.1_mean,0.002062868995632976,49
HpHp_L0.1_radius,0.0020025279299246265,50
HH_L3_magnitude,0.001967345127030665,51
HH_L1_magnitude,0.001936530937168391,52
HH_L5_magnitude,0.001885091374155984,53
MI_dir_L3_mean,0.001789987387914065,54
HpHp_L0.1_mean,0.0017084565766475634,55
HH_L3_weight,0.0015426737989087946,56
H_L3_mean,0.0013173921195093752,57
HpHp_L1_std,0.0013113326688140915,58
H_L0.01_variance,0.0012538124592462838,59
HH_jit_L0.1_variance,0.0011876833942933097,60
HpHp_L1_radius,0.00105838308933812,61
HH_L0.1_pcc,0.0009067747905727286,62
HpHp_L5_magnitude,0.0009016987219949993,63
HpHp_L5_mean,0.0008919830286829701,64
HH_jit_L0.01_variance,0.0007369547293244131,65
H_L1_variance,0.0006627709108264178,66
HH_L5_mean,0.0006448811169639313,67
MI_dir_L5_variance,0.0006425380983737201,68
HpHp_L0.01_radius,0.0006126587041661206,69
HH_L0.1_covariance,0.0005485022624803912,70
HH_jit_L1_variance,0.0005232837460197766,71
HpHp_L5_weight,0.0005203552067809069,72
HpHp_L3_weight,0.00045919055447402285,73
HH_L1_radius,0.00045902238711437084,74
HH_jit_L3_weight,0.0004422187823372497,75
HpHp_L5_radius,0.00041863394898676565,76
HH_L1_pcc,0.00034469596759070467,77
HH_L3_radius,0.0003261455487471857,78
HpHp_L0.01_pcc,0.00028680656123198067,79
HpHp_L3_radius,0.000252618480127521,80
HH_L5_radius,0.00023820432692011568,81
HpHp_L0.01_covariance,0.00022260050504417124,82
HH_L5_covariance,0.0002174683841003063,83
HH_L1_mean,0.0002122246974634529,84
HH_L3_pcc,0.00021130005434460728,85
HH_L5_weight,0.0001418148880352444,86
HH_L1_covariance,0.00014010307797272158,87
HpHp_L3_std,0.00013770743565492976,88
HpHp_L0.1_covariance,0.00012866379786532055,89
HH_jit_L3_variance,0.00012674771890110553,90
HH_L3_covariance,0.00010658914457347172,91
HpHp_L3_mean,9.714727072205149e-05,92
H_L5_mean,8.86244447129722e-05,93
HpHp_L5_std,8.828351637124441e-05,94
HH_jit_L5_variance,8.255592903983033e-05,95
H_L5_variance,7.770320899135138e-05,96
HH_jit_L5_weight,6.17492819475162e-05,97
HpHp_L1_mean,6.00109820069139e-05,98
HpHp_L3_pcc,4.092826961506158e-05,99
H_L3_variance,3.741632882117889e-05,100
HpHp_L1_covariance,3.62110632532855e-05,101
HpHp_L5_pcc,3.417029942804695e-05,102
HH_L1_std,2.908855745494161e-05,103
MI_dir_L5_mean,2.655408456829202e-05,104
HH_L5_pcc,2.348590452744337e-05,105
HH_L3_mean,1.9475407171987664e-05,106
HH_L3_std,1.9388374199238833e-05,107
HpHp_L0.01_mean,1.8321478975665177e-05,108
HH_L5_std,1.2700977878335922e-05,109
MI_dir_L1_variance,1.0586106222873674e-05,110
MI_dir_L3_variance,9.860170525434636e-06,111
HpHp_L3_covariance,8.055865752982447e-06,112
HpHp_L1_pcc,8.025800911710545e-06,113
HpHp_L0.1_pcc,4.7920164599886125e-06,114
HpHp_L5_covariance,3.478401600474105e-06,115
