model,epsilon,n_samples,accuracy,macro_f1,weighted_f1,balanced_accuracy,ece,brier_score,mean_confidence,eval_time_sec,macro_f1_drop_from_clean,accuracy_drop_from_clean,attack,pgd_alpha,pgd_steps
Standard MLP,0.0,60000,0.9994,0.9994,0.9994,0.9994,0.0005242976417143794,0.0005467875550998426,0.999676525592804,0.785,0.0,0.0,,,
Standard MLP,0.005,60000,0.9993833333333333,0.9993833333331621,0.9993833333331621,0.9993833333333333,0.00048568374613921274,0.0005784163149981572,0.9996266961097717,1.144,1.666666683786122e-05,1.666666666666483e-05,,,
Standard MLP,0.01,60000,0.9993333333333333,0.9993333333303704,0.9993333333303703,0.9993333333333333,0.0005318864047526926,0.0006199533619733589,0.9995661973953247,1.118,6.666666962951151e-05,6.666666666665932e-05,,,
Standard MLP,0.02,60000,0.9992,0.9991999999777778,0.9991999999777778,0.9992,0.00045700623492404954,0.0007273556695672437,0.9993325471878052,1.042,0.00020000002222220203,0.00019999999999997797,,,
Standard MLP,0.05,60000,0.99835,0.998349999896875,0.9983499998968749,0.9983500000000001,0.01596032790740333,0.0030693994619980913,0.9841810464859009,1.007,0.0010500001031249484,0.0010499999999999954,,,
Standard MLP,0.1,60000,0.8502,0.8475189625133207,0.8475189625133207,0.8502000000000001,0.14042339630822342,0.14349323391513985,0.9880966544151306,0.983,0.15188103748667925,0.1492,,,
UVIF-IoT-Calibrated MLP,0.0,60000,0.9994,0.9994,0.9994,0.9994,0.0003507366240024111,0.0005580449962302919,0.9991341233253479,0.72,0.0,0.0,,,
UVIF-IoT-Calibrated MLP,0.005,60000,0.9993833333333333,0.9993833333331621,0.9993833333331621,0.9993833333333333,0.0004474002490441063,0.0005942410494613302,0.9989615678787231,1.335,1.666666683786122e-05,1.666666666666483e-05,,,
UVIF-IoT-Calibrated MLP,0.01,60000,0.9993333333333333,0.9993333333303704,0.9993333333303703,0.9993333333333333,0.0006600513041019935,0.0006380286102142089,0.9987409710884094,1.1,6.666666962951151e-05,6.666666666665932e-05,,,
UVIF-IoT-Calibrated MLP,0.02,60000,0.9992,0.9991999999777778,0.9991999999777778,0.9992,0.001442900202671641,0.0007597236343769447,0.9978716969490051,1.083,0.00020000002222220203,0.00019999999999997797,,,
UVIF-IoT-Calibrated MLP,0.05,60000,0.99835,0.998349999896875,0.9983499998968749,0.9983500000000001,0.02574599249064924,0.005947673533731948,0.9737964272499084,1.124,0.0010500001031249484,0.0010499999999999954,,,
UVIF-IoT-Calibrated MLP,0.1,60000,0.8502,0.8475189625133207,0.8475189625133207,0.8502000000000001,0.137518079149723,0.13580060593807058,0.9798589944839478,0.884,0.15188103748667925,0.1492,,,
UVIF-IoT-FE-10,0.0,60000,0.99845,0.9984499982911231,0.9984499982911231,0.9984500000000001,9.234805703161845e-05,0.001523070280448346,0.998401403427124,0.987,0.0,0.0,,,
UVIF-IoT-FE-10,0.005,60000,0.9984333333333333,0.9984333316604797,0.9984333316604798,0.9984333333333333,0.0001618558714787419,0.0015445615838850066,0.9983012080192566,0.78,1.6666630643480396e-05,1.666666666666483e-05,,,
UVIF-IoT-FE-10,0.01,60000,0.9984,0.9983999983999984,0.9983999983999984,0.9984,0.0002692569583654654,0.0015685805910313716,0.9981886744499207,0.854,4.999989112475234e-05,4.999999999999449e-05,,,
UVIF-IoT-FE-10,0.02,60000,0.99835,0.9983499985108737,0.9983499985108737,0.99835,0.0005076977610588596,0.0016257176765282337,0.9979220032691956,0.958,9.99997802494379e-05,9.999999999998899e-05,,,
UVIF-IoT-FE-10,0.05,60000,0.9979,0.9978999978999978,0.9978999978999978,0.9979,0.001850279555718089,0.0019131218239970896,0.99620121717453,0.78,0.0005500003911252938,0.0005499999999999394,,,
UVIF-IoT-FE-10,0.1,60000,0.9955666666666667,0.9955666553173043,0.9955666553173041,0.9955666666666667,0.01815524825255075,0.004918821572742665,0.9776670932769775,0.672,0.00288334297381887,0.002883333333333238,,,
UVIF-IoT-Calibrated MLP,0.0,20000,0.99925,0.999249999983125,0.9992499999831249,0.99925,0.00038024829328060864,0.00071125418566372,0.9991583228111267,0.5,0.0,0.0,PGD,0.0,10.0
UVIF-IoT-Calibrated MLP,0.01,20000,0.99925,0.999249999983125,0.9992499999831249,0.99925,0.0005143320918083008,0.0007733517623842893,0.9987975358963013,0.891,0.0,0.0,PGD,0.0025,10.0
UVIF-IoT-Calibrated MLP,0.05,20000,0.9983,0.998299999932,0.998299999932,0.9983,0.02663717430233952,0.006187864754511512,0.9729898571968079,0.824,0.0009500000511249995,0.0009500000000000064,PGD,0.0125,10.0
UVIF-IoT-Calibrated MLP,0.1,20000,0.8374,0.8347429576107759,0.8347429576107759,0.8373999999999999,0.14799726963639256,0.1449272356538038,0.9714105725288391,0.809,0.16450704237234914,0.16184999999999994,PGD,0.025,10.0
UVIF-IoT-FE-10,0.0,20000,0.99875,0.998749998871874,0.9987499988718741,0.99875,0.00042775310277936066,0.001249023076191212,0.9983711838722229,0.239,0.0,0.0,PGD,0.0,10.0
UVIF-IoT-FE-10,0.01,20000,0.99865,0.9986499990246243,0.9986499990246244,0.99865,0.0006901205658912986,0.0012964359374628255,0.9981467723846436,0.677,9.99998472497321e-05,9.999999999998899e-05,PGD,0.0025,10.0
UVIF-IoT-FE-10,0.05,20000,0.99805,0.998049998591124,0.998049998591124,0.99805,0.002578293213248273,0.001663935486047132,0.9959136843681335,0.64,0.0007000002807500127,0.0007000000000000339,PGD,0.0125,10.0
UVIF-IoT-FE-10,0.1,20000,0.99585,0.9958499924366112,0.9958499924366111,0.99585,0.025733411610126544,0.005722028985733364,0.9701164960861206,0.583,0.002900006435262781,0.0029000000000000137,PGD,0.025,10.0
