feature_budget,rank,feature
10,1,HH_jit_L0.01_mean
10,2,H_L0.01_weight
10,3,MI_dir_L0.1_weight
10,4,HpHp_L0.1_weight
10,5,HpHp_L0.01_radius
10,6,HpHp_L0.01_weight
10,7,H_L0.1_weight
10,8,HpHp_L0.01_std
10,9,MI_dir_L0.01_weight
10,10,HH_jit_L0.1_mean
20,1,HH_jit_L0.01_mean
20,2,H_L0.01_weight
20,3,MI_dir_L0.1_weight
20,4,HpHp_L0.1_weight
20,5,HpHp_L0.01_radius
20,6,HpHp_L0.01_weight
20,7,H_L0.1_weight
20,8,HpHp_L0.01_std
20,9,MI_dir_L0.01_weight
20,10,HH_jit_L0.1_mean
20,11,HpHp_L1_radius
20,12,MI_dir_L5_weight
20,13,HpHp_L0.1_radius
20,14,HH_jit_L5_mean
20,15,HpHp_L0.1_std
20,16,HH_L0.01_radius
20,17,H_L0.01_mean
20,18,H_L1_weight
20,19,HH_jit_L0.01_weight
20,20,HH_jit_L3_mean
30,1,HH_jit_L0.01_mean
30,2,H_L0.01_weight
30,3,MI_dir_L0.1_weight
30,4,HpHp_L0.1_weight
30,5,HpHp_L0.01_radius
30,6,HpHp_L0.01_weight
30,7,H_L0.1_weight
30,8,HpHp_L0.01_std
30,9,MI_dir_L0.01_weight
30,10,HH_jit_L0.1_mean
30,11,HpHp_L1_radius
30,12,MI_dir_L5_weight
30,13,HpHp_L0.1_radius
30,14,HH_jit_L5_mean
30,15,HpHp_L0.1_std
30,16,HH_L0.01_radius
30,17,H_L0.01_mean
30,18,H_L1_weight
30,19,HH_jit_L0.01_weight
30,20,HH_jit_L3_mean
30,21,HH_jit_L1_mean
30,22,HH_jit_L0.01_variance
30,23,HH_L0.1_weight
30,24,H_L3_weight
30,25,MI_dir_L3_weight
30,26,H_L0.1_mean
30,27,H_L5_weight
30,28,MI_dir_L1_weight
30,29,HH_jit_L0.1_variance
30,30,HH_L0.01_magnitude
50,1,HH_jit_L0.01_mean
50,2,H_L0.01_weight
50,3,MI_dir_L0.1_weight
50,4,HpHp_L0.1_weight
50,5,HpHp_L0.01_radius
50,6,HpHp_L0.01_weight
50,7,H_L0.1_weight
50,8,HpHp_L0.01_std
50,9,MI_dir_L0.01_weight
50,10,HH_jit_L0.1_mean
50,11,HpHp_L1_radius
50,12,MI_dir_L5_weight
50,13,HpHp_L0.1_radius
50,14,HH_jit_L5_mean
50,15,HpHp_L0.1_std
50,16,HH_L0.01_radius
50,17,H_L0.01_mean
50,18,H_L1_weight
50,19,HH_jit_L0.01_weight
50,20,HH_jit_L3_mean
50,21,HH_jit_L1_mean
50,22,HH_jit_L0.01_variance
50,23,HH_L0.1_weight
50,24,H_L3_weight
50,25,MI_dir_L3_weight
50,26,H_L0.1_mean
50,27,H_L5_weight
50,28,MI_dir_L1_weight
50,29,HH_jit_L0.1_variance
50,30,HH_L0.01_magnitude
50,31,HH_L0.1_magnitude
50,32,HH_L0.01_weight
50,33,HH_L0.01_std
50,34,H_L0.1_variance
50,35,MI_dir_L0.1_variance
50,36,HH_L5_weight
50,37,HH_L1_weight
50,38,HH_L0.01_covariance
50,39,HH_jit_L3_weight
50,40,HH_jit_L5_weight
50,41,HH_L0.1_radius
50,42,HH_L0.01_pcc
50,43,HH_L5_magnitude
50,44,MI_dir_L0.1_mean
50,45,MI_dir_L1_mean
50,46,HpHp_L1_std
50,47,HpHp_L1_magnitude
50,48,HpHp_L0.01_magnitude
50,49,HH_L1_mean
50,50,H_L1_variance
all,1,MI_dir_L5_weight
all,2,MI_dir_L5_mean
all,3,MI_dir_L5_variance
all,4,MI_dir_L3_weight
all,5,MI_dir_L3_mean
all,6,MI_dir_L3_variance
all,7,MI_dir_L1_weight
all,8,MI_dir_L1_mean
all,9,MI_dir_L1_variance
all,10,MI_dir_L0.1_weight
all,11,MI_dir_L0.1_mean
all,12,MI_dir_L0.1_variance
all,13,MI_dir_L0.01_weight
all,14,MI_dir_L0.01_mean
all,15,MI_dir_L0.01_variance
all,16,H_L5_weight
all,17,H_L5_mean
all,18,H_L5_variance
all,19,H_L3_weight
all,20,H_L3_mean
all,21,H_L3_variance
all,22,H_L1_weight
all,23,H_L1_mean
all,24,H_L1_variance
all,25,H_L0.1_weight
all,26,H_L0.1_mean
all,27,H_L0.1_variance
all,28,H_L0.01_weight
all,29,H_L0.01_mean
all,30,H_L0.01_variance
all,31,HH_L5_weight
all,32,HH_L5_mean
all,33,HH_L5_std
all,34,HH_L5_magnitude
all,35,HH_L5_radius
all,36,HH_L5_covariance
all,37,HH_L5_pcc
all,38,HH_L3_weight
all,39,HH_L3_mean
all,40,HH_L3_std
all,41,HH_L3_magnitude
all,42,HH_L3_radius
all,43,HH_L3_covariance
all,44,HH_L3_pcc
all,45,HH_L1_weight
all,46,HH_L1_mean
all,47,HH_L1_std
all,48,HH_L1_magnitude
all,49,HH_L1_radius
all,50,HH_L1_covariance
all,51,HH_L1_pcc
all,52,HH_L0.1_weight
all,53,HH_L0.1_mean
all,54,HH_L0.1_std
all,55,HH_L0.1_magnitude
all,56,HH_L0.1_radius
all,57,HH_L0.1_covariance
