model,epsilon,n_samples,accuracy,macro_f1,weighted_f1,balanced_accuracy,ece,brier_score,mean_confidence,eval_time_sec,macro_f1_drop_from_clean,accuracy_drop_from_clean
UVIF-IoT-Calibrated MLP,0.0,60000,0.9994,0.9994,0.9994,0.9994,0.0003507366240024111,0.0005580449962302919,0.9991341233253479,0.72,0.0,0.0
UVIF-IoT-Calibrated MLP,0.005,60000,0.9993833333333333,0.9993833333331621,0.9993833333331621,0.9993833333333333,0.0004474002490441063,0.0005942410494613302,0.9989615678787231,1.335,1.666666683786122e-05,1.666666666666483e-05
UVIF-IoT-Calibrated MLP,0.01,60000,0.9993333333333333,0.9993333333303704,0.9993333333303703,0.9993333333333333,0.0006600513041019935,0.0006380286102142089,0.9987409710884094,1.1,6.666666962951151e-05,6.666666666665932e-05
UVIF-IoT-Calibrated MLP,0.02,60000,0.9992,0.9991999999777778,0.9991999999777778,0.9992,0.001442900202671641,0.0007597236343769447,0.9978716969490051,1.083,0.00020000002222220203,0.00019999999999997797
UVIF-IoT-Calibrated MLP,0.05,60000,0.99835,0.998349999896875,0.9983499998968749,0.9983500000000001,0.02574599249064924,0.005947673533731948,0.9737964272499084,1.124,0.0010500001031249484,0.0010499999999999954
UVIF-IoT-Calibrated MLP,0.1,60000,0.8502,0.8475189625133207,0.8475189625133207,0.8502000000000001,0.137518079149723,0.13580060593807058,0.9798589944839478,0.884,0.15188103748667925,0.1492
UVIF-IoT-FE-10,0.0,60000,0.99845,0.9984499982911231,0.9984499982911231,0.9984500000000001,9.234805703161845e-05,0.001523070280448346,0.998401403427124,0.987,0.0,0.0
UVIF-IoT-FE-10,0.005,60000,0.9984333333333333,0.9984333316604797,0.9984333316604798,0.9984333333333333,0.0001618558714787419,0.0015445615838850066,0.9983012080192566,0.78,1.6666630643480396e-05,1.666666666666483e-05
UVIF-IoT-FE-10,0.01,60000,0.9984,0.9983999983999984,0.9983999983999984,0.9984,0.0002692569583654654,0.0015685805910313716,0.9981886744499207,0.854,4.999989112475234e-05,4.999999999999449e-05
UVIF-IoT-FE-10,0.02,60000,0.99835,0.9983499985108737,0.9983499985108737,0.99835,0.0005076977610588596,0.0016257176765282337,0.9979220032691956,0.958,9.99997802494379e-05,9.999999999998899e-05
UVIF-IoT-FE-10,0.05,60000,0.9979,0.9978999978999978,0.9978999978999978,0.9979,0.001850279555718089,0.0019131218239970896,0.99620121717453,0.78,0.0005500003911252938,0.0005499999999999394
UVIF-IoT-FE-10,0.1,60000,0.9955666666666667,0.9955666553173043,0.9955666553173041,0.9955666666666667,0.01815524825255075,0.004918821572742665,0.9776670932769775,0.672,0.00288334297381887,0.002883333333333238
